;StructTreeRoot;Document;DocumentFragment;Part;Div;Art;Sect;TOC;TOCI;Aside;BlockQuote;NonStruct;Private;Title;Sub;P;Note;Code;Hn;H;Lbl;Em;Strong;Span;Quote;Link;Reference;Annot;Form;Ruby;RB;RT;RP;Warichu;WT;WP;FENote;Index;L;LI;LBody;BibEntry;Table;TR;TH;TD;THead;TBody;TFoot;Caption;Figure;Formula;Artifact
Document;1;0..n;0..n;‡;‡;∅;∅;∅;∅;0..n;0..n;‡;0..n;∅;∅;∅;∅;∅;∅;∅;∅;∅;∅;∅;∅;∅;∅;∅;∅;∅;∅;∅;∅;∅;∅;∅;∅;∅;∅;∅;∅;∅;∅;∅;∅;∅;∅;∅;∅;∅;∅;∅;0..n
DocumentFragment;∅;0..n;0..n;‡;‡;0..n;0..n;∅;∅;0..n;0..n;‡;0..n;∅;∅;∅;∅*;∅*;∅;∅;∅;∅;∅;∅;∅;∅*;∅;∅*;∅;∅;∅;∅;∅;∅;∅;∅;∅*;∅;∅;∅;∅;∅;∅;∅;∅;∅;∅;∅;∅;∅*;∅;∅;0..n
Part;∅;0..n;0..n;‡;‡;0..n;0..n;∅;∅;0..n;0..n;‡;0..n;0..n;∅;∅;0..n;0..n;∅;∅;∅;∅;∅;∅;∅;∅*;∅;∅*;∅*;∅;∅;∅;∅;∅;∅;∅;0..n;0..n;∅;∅;0..n;0..n;∅;∅;∅;∅;∅;∅;∅;0..n;0..n;0..n;0..n
Art;∅;0..n;0..n;‡;‡;∅;0..n;∅;∅;0..n;0..n;‡;0..n;∅;∅;∅;0..n;∅;0..1;0..1;∅;∅;∅;∅;∅;0..n;∅;0..n;∅;∅;∅;∅;∅;∅;∅;∅;0..n;∅;∅;∅;0..n;∅;∅;∅;0..n;0..n;∅;∅;∅;0..n;0..n;∅;0..n
Div;∅;0..n;0..n;‡;‡;0..n;0..n;∅;0..n;0..n;0..n;‡;0..n;0..n;∅;∅;0..n;0..n;∅;∅;∅;∅;∅;∅;∅;0..n;∅;0..n;0..n;∅;∅;∅;∅;∅;∅;∅;0..n;0..n;∅;0..n;0..n;0..n;∅;∅;0..n;0..n;∅;∅;∅;0..n;0..n;0..n;0..n
Sect;∅;0..n;0..n;‡;‡;0..n;0..n;∅;∅;0..n;0..n;‡;0..n;∅;∅;∅;0..n;∅;0..1;0..1;∅;∅;∅;∅;∅;0..n;∅;0..n;∅;∅;∅;∅;∅;∅;∅;∅;0..n;0..n;∅;∅;0..n;∅;∅;∅;0..n;0..n;∅;∅;∅;0..n;0..n;∅;0..n
TOC;∅;0..n;0..n;‡;‡;0..n;0..n;0..n;0..n;0..n;0..n;‡;0..n;∅;∅;∅;∅;∅;∅;∅;∅;∅;∅;∅;∅;∅;∅;∅;∅;∅;∅;∅;∅;∅;∅;∅;∅;∅;∅;∅;∅;∅;∅;∅;∅;∅;∅;∅;∅;∅;∅;∅;0..n
TOCI;∅;∅;∅;‡;‡;∅;∅;0..n;∅;∅;∅;‡;0..n;∅;∅;∅;∅;∅;∅;∅;∅;∅;∅;∅;∅;∅;∅;∅;∅;∅;∅;∅;∅;∅;∅;∅;∅;∅;∅;∅;∅;∅;∅;∅;∅;∅;∅;∅;∅;∅;∅;∅;0..n
Aside;∅;0..n;0..n;‡;‡;0..n;0..n;∅;∅;∅;∅;‡;0..n;0..n;∅;∅;0..n;∅;∅;∅;∅;∅;∅;∅;∅;∅*;∅;∅*;∅;∅;∅;∅;∅;∅;∅;∅;0..n;∅;∅;∅;0..n;∅;∅;∅;∅;∅;∅;∅;∅;0..n;0..n;0..n;0..n
BlockQuote;∅;0..n;0..n;‡;‡;0..n;0..n;∅;∅;0..n;0..n;‡;0..n;∅;∅;∅;0..n;∅;∅;∅;∅;∅;∅;∅;∅;∅*;∅;∅*;∅;∅;∅;∅;∅;∅;∅;∅;0..n;∅;∅;∅;0..n;∅;∅;∅;∅;∅;∅;∅;∅;0..n;0..n;0..n;0..n
NonStruct;∅;0..n;0..n;‡;‡;0..n;0..n;0..n;0..n;0..n;0..n;‡;0..n;0..n;0..n;0..n;0..n;0..n;0..n;0..n;0..n;0..n;0..n;0..n;0..n;0..n;0..n;0..n;0..n;0..n;0..n;0..n;0..n;0..n;0..n;0..n;0..n;0..n;0..n;0..n;0..n;0..n;0..n;0..n;0..n;0..n;0..n;0..n;0..n;0..n;0..n;0..n;0..n
Private;∅;0..n;0..n;0..n;0..n;0..n;0..n;0..n;0..n;0..n;0..n;‡;0..n;0..n;0..n;0..n;0..n;0..n;0..n;0..n;0..n;0..n;0..n;0..n;0..n;0..n;0..n;∅;0..n;0..n;0..n;0..n;0..n;0..n;0..n;0..n;0..n;0..n;0..n;0..n;0..n;0..n;0..n;0..n;0..n;0..n;0..n;0..n;0..n;0..n;0..n;0..n;0..n
P;∅;0..n;0..n;‡;‡;0..n;0..n;∅;0..n;0..n;0..n;‡;0..n;0..n;∅;∅;0..n;∅;∅;∅;∅;∅;∅;∅;∅;∅*;∅;∅*;∅;∅;∅;∅;∅;∅;∅;∅;0..n;0..n;∅;∅;0..n;0..n;∅;∅;0..n;0..n;∅;∅;∅;0..n;0..n;0..n;0..n
Note;∅;0..n;0..n;‡;‡;0..n;0..n;∅;∅;0..n;0..n;‡;0..n;0..n;0..n;0..n;0..n;0..n;0..n;0..n;0..n;0..n;0..n;0..n;0..n;0..n;0..n;0..n;0..n;∅;∅;∅;∅;∅;∅;∅;0..n;0..n;∅;∅;0..n;0..n;∅;∅;0..n;0..n;∅;∅;∅;0..n;0..n;0..n;0..n
Code;∅;0..n;0..n;‡;‡;0..n;0..n;∅;∅;0..n;0..n;‡;0..n;0..n;0..n;0..n;0..n;∅;0..n;0..n;0..n;0..n;0..n;0..n;0..n;0..n;∅;0..n;∅*;∅;∅;∅;∅;∅;∅;∅;0..n;∅;∅;∅;0..n;∅;∅;∅;0..n;0..n;∅;∅;∅;0..n;0..n;0..n;0..n
Hn;∅;0..n;0..n;‡;‡;0..n;0..n;∅;∅;0..n;0..n;‡;0..n;∅;∅;∅;∅;∅;∅;∅;∅;∅;∅;∅;∅;∅*;∅;∅*;∅;∅;∅;∅;∅;∅;∅;∅;∅;0..n;∅;∅;0..n;∅;∅;∅;0..n;0..n;∅;∅;∅;0..n;0..n;0..n;0..n
H;∅;0..1;0..1;‡;‡;0..1;0..1;∅;∅;0..1;0..1;‡;0..n;∅;∅;∅;∅;∅;∅;∅;∅;∅;∅;∅;∅;∅*;∅;∅*;∅;∅;∅;∅;∅;∅;∅;∅;∅;0..n;∅;∅;0..1;∅;∅;∅;0..1;0..1;∅;∅;∅;0..1;0..1;0..1;0..1
Title;∅;0..n;0..n;‡;‡;0..n;0..n;∅;∅;∅;∅;‡;0..n;∅;∅;∅;∅;∅;∅;∅;∅;∅;∅;∅;∅;∅*;∅;∅*;∅;∅;∅;∅;∅;∅;∅;∅;∅;∅;∅;∅;∅;∅;∅;∅;∅;∅;∅;∅;∅;∅;∅;∅;0..n
Sub;∅;∅;∅;‡;‡;∅;∅;∅;∅;∅;∅;‡;0..n;∅;∅;0..n;0..n;0..n;0..n;0..n;0..n;0..n;0..n;0..n;0..n;0..n;∅;0..n;∅;∅;0..n;0..n;0..n;∅;0..n;0..n;0..n;∅;∅;∅;0..n;∅;∅;∅;∅;∅;∅;∅;∅;0..n;∅*;0..n;0..n
Lbl;∅;∅;∅;‡;‡;0..n;0..n;∅;0..n;0..n;0..n;‡;0..n;0..n;0..n;0..n;0..n;∅;0..n;0..n;∅;0..n;0..n;0..n;0..n;0..n;0..n;0..n;0..n;∅;∅;∅;∅;∅;∅;∅;0..n;∅;∅;0..n;∅;0..n;∅;∅;0..n;0..n;∅;∅;∅;0..n;0..n;0..n;0..n
Em;∅;∅;∅;∅;‡;∅;∅;∅;∅;∅;∅;‡;0..n;0..n;0..n;0..n;0..n;0..n;0..n;0..n;0..n;0..n;0..n;0..n;0..n;0..n;0..n;0..n;∅;∅;0..n;0..n;0..n;∅;0..n;0..n;0..n;∅;∅;∅;0..n;0..n;∅;∅;0..n;0..n;∅;∅;∅;0..n;0..n;0..n;0..n
Strong;∅;∅;∅;∅;‡;∅;∅;∅;∅;∅;∅;‡;0..n;0..n;0..n;0..n;0..n;0..n;0..n;0..n;0..n;0..n;0..n;0..n;0..n;0..n;0..n;0..n;∅;∅;0..n;0..n;0..n;∅;0..n;0..n;0..n;∅;∅;∅;0..n;0..n;∅;∅;0..n;0..n;∅;∅;∅;0..n;0..n;0..n;0..n
Span;∅;∅;∅;∅;‡;∅;∅;∅;∅;∅;∅;‡;0..n;0..n;0..n;0..n;0..n;0..n;0..n;0..n;0..n;0..n;0..n;0..n;0..n;0..n;0..n;0..n;∅;∅;0..n;0..n;0..n;∅;0..n;0..n;0..n;∅;∅;∅;0..n;0..n;∅;∅;0..n;0..n;∅;∅;∅;0..n;0..n;0..n;0..n
Quote;∅;∅;∅;∅;‡;∅;∅;∅;∅;∅;∅;‡;0..n;0..n;0..n;0..n;0..n;∅;0..n;0..n;0..n;0..n;0..n;0..n;0..n;0..n;∅;0..n;∅;∅;0..n;0..n;0..n;∅;0..n;0..n;0..n;∅;∅;∅;0..n;∅;∅;∅;0..n;0..n;∅;∅;∅;0..n;0..n;0..n;0..n
Link;∅;0..n;0..n;‡;‡;0..n;0..n;∅;∅;0..n;0..n;‡;0..n;0..n;0..n;0..n;0..n;0..n;0..n;0..n;0..n;0..n;0..n;0..n;0..n;∅;0..n;0..n;∅;∅;0..n;0..n;0..n;∅;0..n;0..n;0..n;∅;∅;∅;0..n;0..n;∅;∅;0..n;0..n;∅;∅;∅;0..n;0..n;0..n;0..n
Reference;∅;∅;∅;‡;‡;∅;∅;∅;0..n;0..n;0..n;‡;0..n;0..n;0..n;0..n;0..n;0..n;0..n;0..n;0..n;0..n;0..n;0..n;0..n;0..n;∅;∅*;∅*;∅;0..n;0..n;0..n;∅;0..n;0..n;0..n;0..n;∅;∅;0..n;0..n;∅;∅;0..n;0..n;∅;∅;∅;0..n;0..n;0..n;0..n
Annot;∅;0..n;0..n;‡;‡;0..n;0..n;∅;∅;0..n;0..n;‡;0..n;0..n;0..n;0..n;0..n;0..n;0..n;0..n;0..n;0..n;0..n;0..n;0..n;0..n;0..n;0..n;∅;∅;0..n;0..n;0..n;∅;0..n;0..n;0..n;0..n;∅;∅;0..n;0..n;∅;∅;0..n;0..n;∅;∅;∅;0..n;0..n;0..n;0..n
Form;∅;0..n;0..n;‡;‡;0..n;0..n;∅;∅;0..n;0..n;‡;0..n;0..n;0..n;0..n;0..n;∅;0..n;0..n;0..n;0..n;0..n;0..n;0..n;∅*;∅;∅*;∅;∅;0..n;0..n;0..n;∅;0..n;0..n;0..n;∅;∅;∅;0..n;∅;∅;∅;0..n;0..n;∅;∅;∅;0..n;0..n;0..n;0..n
Ruby;∅;∅;∅;∅;‡;∅;∅;∅;∅;∅;∅;‡;0..n;0..n;0..n;0..n;0..n;∅;0..n;0..n;0..n;0..n;0..n;0..n;0..n;0..n;∅;0..n;∅;∅;∅;∅;∅;∅;∅;∅;0..n;∅;∅;∅;0..n;∅;∅;∅;0..n;0..n;∅;∅;∅;0..n;0..n;0..n;0..n
RB;∅;∅;∅;∅;‡;∅;∅;∅;∅;∅;∅;‡;0..n;∅;∅;∅;∅;∅;∅;∅;∅;∅;∅;∅;∅;∅;∅;∅;∅;[a];∅;∅;∅;∅;∅;∅;∅;∅;∅;∅;∅;∅;∅;∅;∅;∅;∅;∅;∅;∅;∅;∅;0..n
RT;∅;∅;∅;∅;‡;∅;∅;∅;∅;∅;∅;‡;0..n;∅;∅;∅;∅;∅;∅;∅;∅;∅;∅;∅;∅;∅;∅;∅;∅;[a];∅;∅;∅;∅;∅;∅;∅;∅;∅;∅;∅;∅;∅;∅;∅;∅;∅;∅;∅;∅;∅;∅;0..n
RP;∅;∅;∅;∅;‡;∅;∅;∅;∅;∅;∅;‡;0..n;∅;∅;∅;∅;∅;∅;∅;∅;∅;∅;∅;∅;∅;∅;∅;∅;[a];∅;∅;∅;∅;∅;∅;∅;∅;∅;∅;∅;∅;∅;∅;∅;∅;∅;∅;∅;∅;∅;∅;0..n
Warichu;∅;∅;∅;∅;‡;∅;∅;∅;∅;∅;∅;‡;0..n;0..n;0..n;0..n;0..n;∅;0..n;0..n;0..n;0..n;0..n;0..n;0..n;0..n;∅;0..n;∅;∅;∅;∅;∅;∅;∅;∅;0..n;∅;∅;∅;0..n;∅;∅;∅;0..n;0..n;∅;∅;∅;0..n;0..n;0..n;0..n
WT;∅;∅;∅;∅;‡;∅;∅;∅;∅;∅;∅;‡;0..n;∅;∅;∅;∅;∅;∅;∅;∅;∅;∅;∅;∅;∅;∅;∅;∅;∅;∅;∅;∅;[b];∅;∅;∅;∅;∅;∅;∅;∅;∅;∅;∅;∅;∅;∅;∅;∅;∅;∅;0..n
WP;∅;∅;∅;∅;‡;∅;∅;∅;∅;∅;∅;‡;0..n;∅;∅;∅;∅;∅;∅;∅;∅;∅;∅;∅;∅;∅;∅;∅;∅;∅;∅;∅;∅;[b];∅;∅;∅;∅;∅;∅;∅;∅;∅;∅;∅;∅;∅;∅;∅;∅;∅;∅;0..n
FENote;∅;0..n;0..n;‡;‡;0..n;0..n;∅;∅;0..n;0..n;‡;0..n;0..n;0..n;0..n;0..n;0..n;0..n;0..n;0..n;0..n;0..n;0..n;0..n;0..n;0..n;0..n;0..n;∅;∅;∅;∅;∅;∅;∅;0..n;0..n;∅;∅;0..n;0..n;∅;∅;0..n;0..n;∅;∅;∅;0..n;0..n;0..n;0..n
Index;∅;0..n;0..n;‡;‡;0..n;0..n;∅;∅;0..n;0..n;‡;0..n;∅;∅;∅;0..n;∅;∅;∅;∅;∅;∅;∅;∅;∅;∅;∅;∅;∅;∅;∅;∅;∅;∅;∅;∅;∅;∅;∅;0..n;∅;∅;∅;0..n;0..n;∅;∅;∅;0..n;0..n;0..n;0..n
L;∅;0..n;0..n;‡;‡;0..n;0..n;∅;∅;0..n;0..n;‡;0..n;0..n;0..n;0..n;0..n;∅;∅;∅;∅;∅;∅;∅;∅;∅*;∅;∅*;∅*;∅;∅;∅;∅;∅;∅;∅;0..n;0..n;0..n;∅;0..n;∅;∅;∅;0..n;0..n;∅;∅;∅;0..n;0..n;0..n;0..n
LI;∅;∅;∅;∅;‡;∅;∅;∅;∅;∅;∅;‡;0..n;∅;∅;∅;∅;∅;∅;∅;∅;∅;∅;∅;∅;∅;∅;∅;∅;∅;∅;∅;∅;∅;∅;∅;∅;∅;0..n;∅;∅;∅;∅;∅;∅;∅;∅;∅;∅;∅;∅;∅;0..n
LBody;∅;∅;∅;∅;‡;∅;∅;∅;∅;∅;∅;‡;0..n;∅;∅;∅;∅;∅;∅;∅;∅;∅;∅;∅;∅;∅;∅;∅;∅;∅;∅;∅;∅;∅;∅;∅;∅;∅;∅;0..n;∅;∅;∅;∅;∅;∅;∅;∅;∅;∅;∅;∅;0..n
BibEntry;∅;∅;∅;‡;‡;∅;∅;∅;∅;∅;∅;‡;0..n;0..n;0..n;0..n;0..n;0..n;0..n;0..n;0..n;0..n;0..n;0..n;0..n;0..n;0..n;0..n;0..n;∅;∅;∅;∅;∅;∅;∅;∅;∅;∅;∅;0..n;∅;∅;∅;0..n;0..n;∅;∅;∅;0..n;0..n;0..n;0..n
Table;∅;0..n;0..n;‡;‡;0..n;0..n;∅;∅;0..n;0..n;‡;0..n;0..n;∅;0..n;0..n;∅;∅;∅;∅;∅;∅;∅;∅;∅*;∅;∅*;∅*;∅;∅;∅;∅;∅;∅;∅;0..n;0..n;∅;∅;0..n;∅;∅;∅;0..n;0..n;∅;∅;∅;0..n;0..n;0..n;0..n
TR;∅;∅;∅;∅;‡;∅;∅;∅;∅;∅;∅;‡;0..n;∅;∅;∅;∅;∅;∅;∅;∅;∅;∅;∅;∅;∅;∅;∅;∅;∅;∅;∅;∅;∅;∅;∅;∅;∅;∅;∅;∅;∅;0..n;∅;∅;∅;0..n;0..n;0..n;∅;∅;∅;0..n
TH;∅;∅;∅;∅;‡;∅;∅;∅;∅;∅;∅;‡;0..n;∅;∅;∅;∅;∅;∅;∅;∅;∅;∅;∅;∅;∅;∅;∅;∅;∅;∅;∅;∅;∅;∅;∅;∅;∅;∅;∅;∅;∅;∅;0..n;∅;∅;∅;∅;∅;∅;∅;∅;0..n
TD;∅;∅;∅;∅;‡;∅;∅;∅;∅;∅;∅;‡;0..n;∅;∅;∅;∅;∅;∅;∅;∅;∅;∅;∅;∅;∅;∅;∅;∅;∅;∅;∅;∅;∅;∅;∅;∅;∅;∅;∅;∅;∅;∅;0..n;∅;∅;∅;∅;∅;∅;∅;∅;0..n
THead;∅;∅;∅;∅;‡;∅;∅;∅;∅;∅;∅;‡;0..n;∅;∅;∅;∅;∅;∅;∅;∅;∅;∅;∅;∅;∅;∅;∅;∅;∅;∅;∅;∅;∅;∅;∅;∅;∅;∅;∅;∅;∅;0..1;∅;∅;∅;∅;∅;∅;∅;∅;∅;0..n
TBody;∅;∅;∅;∅;‡;∅;∅;∅;∅;∅;∅;‡;0..n;∅;∅;∅;∅;∅;∅;∅;∅;∅;∅;∅;∅;∅;∅;∅;∅;∅;∅;∅;∅;∅;∅;∅;∅;∅;∅;∅;∅;∅;0..n;∅;∅;∅;∅;∅;∅;∅;∅;∅;0..n
TFoot;∅;∅;∅;∅;‡;∅;∅;∅;∅;∅;∅;‡;0..n;∅;∅;∅;∅;∅;∅;∅;∅;∅;∅;∅;∅;∅;∅;∅;∅;∅;∅;∅;∅;∅;∅;∅;∅;∅;∅;∅;∅;∅;0..1;∅;∅;∅;∅;∅;∅;∅;∅;∅;0..n
Caption;∅;∅;∅;‡;‡;0..n;0..n;0..1;∅;0..1;0..1;‡;0..n;0..1;∅;∅;∅*;∅;∅;∅;∅;∅;∅;∅;∅;∅*;∅;∅*;0..1;∅;∅;∅;∅;∅;∅;∅;∅*;0..n;0..1;∅;0..1;∅;0..1;∅;∅;∅;∅;∅;∅;∅;0..1;0..1;0..1
Figure;∅;0..n;0..n;‡;‡;0..n;0..n;∅;∅;0..n;0..n;‡;0..n;0..n;0..n;0..n;0..n;∅;0..n;0..n;0..n;0..n;0..n;0..n;0..n;0..n;0..n;0..n;∅*;∅;∅;∅;∅;∅;∅;∅;0..n;0..n;∅;∅;0..n;0..n;∅;∅;0..n;0..n;∅;∅;∅;0..n;0..n;0..n;0..n
Formula;∅;0..n;0..n;‡;‡;0..n;0..n;∅;∅;0..n;0..n;‡;0..n;0..n;0..n;0..n;0..n;∅;0..n;0..n;0..n;0..n;0..n;0..n;0..n;0..n;∅;0..n;∅*;∅;∅;∅;∅;∅;∅;∅;0..n;0..n;∅;∅;0..n;∅;∅;∅;0..n;0..n;∅;∅;∅;0..n;0..n;0..n;0..n
Artifact;∅;0..n;0..n;‡;‡;0..n;0..n;0..n;0..n;0..n;0..n;‡;0..n;0..n;0..n;0..n;0..n;0..n;0..n;0..n;0..n;0..n;0..n;0..n;0..n;0..n;0..n;0..n;0..n;∅;0..n;0..n;0..n;∅;0..n;0..n;0..n;0..n;0..n;0..n;0..n;0..n;0..n;0..n;0..n;0..n;0..n;0..n;0..n;0..n;0..n;0..n;0..n
content item;∅;∅;∅;∅;∅;∅;∅;∅;∅;0..n;0..n;‡;0..n;0..n;0..n;0..n;0..n;0..n;0..n;0..n;0..n;0..n;0..n;0..n;0..n;0..n;0..n;0..n;0..n;0..n;‡;‡;‡;0..n;‡;‡;0..n;∅;∅;0..n;0..n;0..n;∅;∅;0..n;0..n;∅;∅;∅;0..n;0..n;0..n;0..n
